"module name","license","repository"
"ansi-escapes@7.0.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@6.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"chalk@5.3.0","MIT","https://github.com/chalk/chalk"
"cli-cursor@5.0.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-truncate@4.0.0","MIT","https://github.com/sindresorhus/cli-truncate"
"colorette@2.0.20","MIT","https://github.com/jorgebucaran/colorette"
"commander@12.1.0","MIT","https://github.com/tj/commander.js"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@4.3.6","MIT","https://github.com/debug-js/debug"
"emoji-regex@10.3.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"environment@1.1.0","MIT","https://github.com/sindresorhus/environment"
"eventemitter3@5.0.1","MIT","https://github.com/primus/eventemitter3"
"execa@8.0.1","MIT","https://github.com/sindresorhus/execa"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"get-east-asian-width@1.2.0","MIT","https://github.com/sindresorhus/get-east-asian-width"
"get-stream@8.0.1","MIT","https://github.com/sindresorhus/get-stream"
"human-signals@5.0.0","Apache-2.0","https://github.com/ehmicky/human-signals"
"husky@9.1.4","MIT","https://github.com/typicode/husky"
"is-fullwidth-code-point@4.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-fullwidth-code-point@5.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-stream@3.0.0","MIT","https://github.com/sindresorhus/is-stream"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"lilconfig@3.1.2","MIT","https://github.com/antonk52/lilconfig"
"lint-staged@15.2.7","MIT","https://github.com/okonet/lint-staged"
"listr2@8.2.4","MIT","https://github.com/listr2/listr2"
"log-update@6.1.0","MIT","https://github.com/sindresorhus/log-update"
"merge-stream@2.0.0","MIT","https://github.com/grncdr/merge-stream"
"micromatch@4.0.7","MIT","https://github.com/micromatch/micromatch"
"mimic-fn@4.0.0","MIT","https://github.com/sindresorhus/mimic-fn"
"mimic-function@5.0.1","MIT","https://github.com/sindresorhus/mimic-function"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"npm-run-path@5.3.0","MIT","https://github.com/sindresorhus/npm-run-path"
"onetime@6.0.0","MIT","https://github.com/sindresorhus/onetime"
"onetime@7.0.0","MIT","https://github.com/sindresorhus/onetime"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-key@4.0.0","MIT","https://github.com/sindresorhus/path-key"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"pidtree@0.6.0","MIT","https://github.com/simonepri/pidtree"
"portfolio-website-refactor@1.0.0","ISC",""
"restore-cursor@5.1.0","MIT","https://github.com/sindresorhus/restore-cursor"
"rfdc@1.4.1","MIT","https://github.com/davidmarkclements/rfdc"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"slice-ansi@5.0.0","MIT","https://github.com/chalk/slice-ansi"
"slice-ansi@7.1.0","MIT","https://github.com/chalk/slice-ansi"
"string-argv@0.3.2","MIT","https://github.com/mccormicka/string-argv"
"string-width@7.2.0","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@7.1.0","MIT","https://github.com/chalk/strip-ansi"
"strip-final-newline@3.0.0","MIT","https://github.com/sindresorhus/strip-final-newline"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"typescript@5.4.5","Apache-2.0","https://github.com/Microsoft/TypeScript"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wrap-ansi@9.0.0","MIT","https://github.com/chalk/wrap-ansi"
"yaml@2.4.5","ISC","https://github.com/eemeli/yaml"
