"module name","license","repository"
"@cspotcode/source-map-support@0.8.1","MIT","https://github.com/cspotcode/node-source-map-support"
"@jridgewell/resolve-uri@3.1.1","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.9","MIT","https://github.com/jridgewell/trace-mapping"
"@socket.io/component-emitter@3.1.0","MIT","https://github.com/socketio/emitter"
"@tsconfig/node10@1.0.9","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node12@1.0.11","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node14@1.0.3","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node16@1.0.4","MIT","https://github.com/tsconfig/bases"
"@types/body-parser@1.19.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookie@0.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.17.41","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.21","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-errors@2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.11.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/send@0.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.15.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/strip-bom@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/strip-json-comments@0.0.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn-walk@8.3.2","MIT","https://github.com/acornjs/acorn"
"acorn@8.11.3","MIT","https://github.com/acornjs/acorn"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"arg@4.1.3","MIT","https://github.com/zeit/arg"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64id@2.0.0","MIT","https://github.com/faeldt/base64id"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"body-parser@1.20.2","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.7","MIT","https://github.com/ljharb/call-bind"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.4.2","MIT","https://github.com/jshttp/cookie"
"cookie@0.6.0","MIT","https://github.com/jshttp/cookie"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"create-require@1.1.1","MIT","https://github.com/nuxt-contrib/create-require"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"diff@4.0.2","BSD-3-Clause","https://github.com/kpdecker/jsdiff"
"dotenv@16.3.2","BSD-2-Clause","https://github.com/motdotla/dotenv"
"dynamic-dedupe@0.3.0","MIT","https://github.com/thlorenz/dynamic-dedupe"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"engine.io-parser@5.2.1","MIT","https://github.com/socketio/engine.io-parser"
"engine.io@6.5.4","MIT","https://github.com/socketio/engine.io"
"es-define-property@1.0.0","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express-rate-limit@7.2.0","MIT","https://github.com/express-rate-limit/express-rate-limit"
"express@4.19.2","MIT","https://github.com/expressjs/express"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.2.4","MIT","https://github.com/ljharb/get-intrinsic"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"gopd@1.0.1","MIT","https://github.com/ljharb/gopd"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-proto@1.0.3","MIT","https://github.com/inspect-js/has-proto"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.0","MIT","https://github.com/inspect-js/hasOwn"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-core-module@2.13.1","MIT","https://github.com/inspect-js/is-core-module"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"make-error@1.3.6","ISC","https://github.com/JsCommunity/make-error"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"mkdirp@1.0.4","MIT","https://github.com/isaacs/node-mkdirp"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
